V201119,V201156,V201157,V201208,V201212,V201233,V201246,V201249,V201252,V201255,V201258,V201262,V201350,V201365,V201366,V201368,V201377,V201626,V201651
4,50,100,4,2,2,99,99,7,99,99,99,5,4,5,5,1,4,3
3,15,60,5,2,4,2,5,5,7,7,3,4,3,1,5,1,4,1
1,100,60,1,5,3,99,99,5,3,4,3,5,2,5,4,5,2,2
3,0,60,5,2,4,3,5,6,6,5,4,3,3,5,5,1,3,2
2,70,30,3,5,3,99,99,4,4,3,1,3,2,4,4,3,3,3
3,15,40,5,2,4,1,4,7,7,7,5,3,3,5,5,1,3,1
1,85,0,2,5,3,5,4,2,1,1,1,3,2,5,5,4,1,2
4,15,85,5,1,3,4,99,99,7,7,1,4,3,3,3,1,3,3
1,85,30,1,5,3,7,2,4,4,2,4,2,3,2,5,2,1,1
3,15,85,5,1,3,4,6,4,7,7,5,4,2,5,5,1,4,3
1,0,85,5,3,3,4,6,6,6,5,99,4,3,2,4,2,3,3
2,15,15,5,3,4,6,1,1,1,1,1,1,1,4,5,1,3,3
2,85,50,4,5,4,7,2,1,1,4,1,4,3,5,5,2,2,2
2,50,50,3,5,4,5,99,99,4,3,99,3,4,4,4,3,2,2
3,20,70,5,2,5,3,4,7,7,6,4,4,3,4,4,1,4,2
1,0,60,4,1,3,3,4,5,6,4,4,4,4,4,5,1,3,2
1,65,11,1,5,4,6,4,99,4,3,99,3,3,5,5,4,2,2
1,15,0,3,5,4,7,1,1,1,1,1,5,2,5,5,2,1,2
1,100,15,1,5,2,99,99,99,99,99,99,3,2,2,3,2,3,2
1,50,0,3,5,4,4,4,4,4,4,3,3,4,4,4,4,2,3
1,85,50,2,5,4,7,5,1,2,1,99,3,3,1,4,3,1,3
1,100,0,1,5,3,7,7,1,1,1,1,1,3,5,5,5,1,1
3,50,70,3,3,1,4,4,4,4,4,4,3,3,1,3,2,3,3
3,0,100,5,1,3,7,7,3,5,4,99,3,3,3,4,1,4,2
2,0,85,5,1,4,3,6,6,6,3,6,4,3,4,4,2,2,2
1,0,30,5,1,5,1,4,7,6,6,7,3,4,5,3,1,4,2
1,75,15,1,4,3,5,3,2,4,1,2,3,2,5,5,4,2,3
1,60,30,3,5,4,4,2,1,4,4,3,5,3,5,5,2,4,3
2,40,40,4,5,3,4,4,3,4,4,3,4,3,3,5,1,4,3
4,0,100,5,1,3,99,5,99,4,5,1,4,3,4,4,1,4,2
3,15,60,5,2,4,3,4,5,7,4,7,3,3,5,5,1,4,2
1,90,10,2,5,4,5,99,2,4,3,1,4,-9,5,5,3,1,2
1,100,30,2,5,3,5,99,3,2,2,1,3,2,4,4,2,1,3
3,30,85,2,3,1,5,99,1,5,4,3,2,3,2,5,2,4,3
1,70,60,3,5,3,7,5,6,3,1,4,3,3,4,3,2,4,3
4,15,65,5,2,4,5,5,7,6,6,3,4,3,5,5,1,2,2
2,80,30,2,5,4,7,5,1,1,1,1,5,3,4,4,3,-9,3
1,70,0,2,5,4,4,2,4,6,1,1,4,3,5,5,5,1,3
1,70,0,4,5,5,7,4,1,1,2,1,4,2,5,5,3,4,4
1,70,40,1,5,4,6,99,1,6,3,99,3,3,3,4,5,2,2
2,10,40,5,3,4,3,6,7,5,4,7,3,3,2,3,1,4,2
1,30,0,3,5,4,4,1,3,4,1,1,3,3,4,5,3,4,3
4,40,70,3,2,2,3,6,3,4,2,4,4,3,5,5,3,3,2
2,15,70,5,3,3,3,2,6,6,7,2,3,3,5,5,3,4,2
1,-9,0,2,5,4,5,4,1,1,1,1,3,2,5,5,3,1,2
1,30,40,4,5,2,5,3,5,3,3,2,3,2,5,5,5,2,2
2,40,60,4,5,4,2,4,7,2,6,6,3,3,5,5,3,4,1
2,70,30,2,5,2,7,4,6,3,2,3,3,3,5,5,4,1,1
1,40,60,5,2,3,4,6,2,2,7,2,4,3,1,4,1,4,2
3,70,70,2,5,2,2,2,4,3,2,2,2,2,5,5,4,1,2
1,70,15,1,5,3,6,1,1,2,1,1,4,3,5,5,5,3,4
1,75,0,2,5,4,2,5,99,2,2,1,3,2,5,5,3,2,3
3,30,40,5,5,2,4,4,5,4,3,3,3,3,3,4,3,2,3
1,35,30,2,5,4,3,4,5,6,4,2,3,3,5,5,2,4,2
1,60,15,4,5,3,5,3,3,4,3,3,4,2,5,5,3,1,3
1,55,40,2,5,3,5,4,3,4,3,4,3,2,5,4,4,2,2
2,30,70,5,2,4,99,99,5,6,99,99,4,3,2,5,1,4,1
1,75,0,3,5,4,4,3,1,99,99,2,3,3,5,5,3,3,3
2,30,85,5,2,4,2,5,4,6,7,99,3,3,3,5,2,3,3
3,40,85,5,2,3,5,5,4,4,3,4,3,2,2,5,2,2,2
1,85,0,2,5,3,5,3,1,2,1,2,3,3,5,5,4,1,4
3,30,40,3,1,3,5,6,5,5,3,4,3,3,5,5,4,2,3
3,15,85,5,2,3,2,6,5,4,7,4,4,3,1,4,1,3,3
1,70,0,2,5,3,99,5,2,4,4,3,3,2,4,3,3,1,3
1,60,0,1,5,4,5,4,1,2,4,1,3,2,5,5,3,2,4
2,50,50,5,2,5,7,99,99,99,99,99,3,3,1,4,3,2,3
1,60,15,2,5,4,3,4,6,4,5,5,3,3,3,5,3,3,2
1,45,5,3,5,4,7,2,1,3,2,1,4,2,5,5,3,2,3
2,70,40,2,4,4,4,3,1,6,5,2,4,3,3,5,3,3,3
3,10,65,5,3,4,2,4,7,7,5,5,5,3,4,4,1,-9,-9
1,50,50,2,2,4,7,1,1,2,5,3,4,2,5,5,2,2,4
2,30,30,3,5,4,4,4,4,4,4,4,3,3,5,5,2,3,2
2,60,40,4,4,3,6,3,2,2,2,1,4,2,5,5,3,2,1
4,15,60,4,2,3,3,5,7,4,7,4,4,3,3,4,1,3,2
4,15,70,5,1,2,1,6,7,6,4,4,3,3,1,5,1,2,2
1,2,1,5,5,4,7,1,1,4,1,1,3,3,1,5,1,1,3
1,70,0,1,5,3,99,99,99,2,99,99,5,3,3,5,3,3,2
1,70,40,2,5,4,7,99,99,99,1,1,5,2,3,4,4,2,2
3,15,70,4,1,4,99,6,5,7,99,4,4,3,3,5,1,3,2
1,85,10,3,5,2,5,1,2,4,3,2,4,3,5,5,4,3,4
1,70,0,2,5,2,5,4,3,3,3,2,4,3,5,5,3,2,2
1,60,85,3,3,2,5,6,7,4,4,3,2,3,2,4,3,3,2
1,100,0,2,5,4,4,4,4,4,3,2,3,3,5,5,5,2,2
2,20,20,5,2,5,7,99,99,99,1,99,4,4,1,5,4,1,2
1,60,15,2,3,4,99,7,1,99,7,99,4,3,1,5,2,4,2
1,70,15,3,5,4,5,3,1,1,1,2,4,2,5,5,4,1,2
1,86,30,3,5,3,5,4,3,2,2,1,3,2,5,4,3,2,2
2,40,50,5,1,4,5,4,1,4,7,5,3,3,3,4,1,3,4
3,50,50,5,2,3,2,3,6,5,5,5,3,3,4,4,1,3,3
3,40,60,3,3,4,99,2,99,99,99,1,3,3,3,5,3,3,2
1,80,0,2,5,5,7,1,4,5,4,99,3,3,5,5,3,1,1
4,0,85,5,1,3,4,6,7,7,6,6,4,3,3,4,2,4,1
2,0,85,5,1,4,2,6,7,7,7,2,3,4,3,5,2,4,3
2,70,50,3,3,3,5,6,6,3,3,2,4,3,5,5,3,2,2
2,0,50,5,1,4,4,2,7,6,4,4,4,3,1,5,1,3,3
1,75,0,3,5,2,6,2,2,3,2,2,4,2,5,5,3,2,4
1,85,0,1,5,4,6,1,2,1,1,1,5,3,5,5,4,2,1
1,70,0,3,5,4,5,4,2,2,2,2,3,2,5,5,4,1,2
3,15,70,5,2,4,5,7,7,99,7,7,4,3,5,5,1,3,3
1,50,0,4,5,5,7,99,1,1,1,1,5,3,5,5,1,2,5
2,60,0,2,5,4,4,3,3,3,3,2,3,3,5,4,3,2,3
1,60,50,3,5,3,1,1,4,99,4,4,2,3,3,3,1,3,3
1,60,30,1,5,2,5,3,1,3,3,2,4,3,5,5,3,2,3
1,30,30,3,2,4,5,4,4,6,4,3,4,3,5,5,2,1,2
2,15,60,4,3,4,7,3,1,3,3,1,5,3,4,5,2,3,2
2,15,70,5,2,3,4,6,4,5,5,4,3,3,4,4,2,3,3
2,70,60,2,5,3,7,6,1,2,4,2,3,3,3,5,1,1,2
3,0,85,5,1,3,7,5,7,5,5,99,4,3,1,5,1,4,3
1,0,0,3,5,4,7,1,1,1,1,1,4,3,4,5,2,1,4
2,85,30,2,5,4,7,5,99,1,1,1,4,4,4,4,3,2,2
2,50,50,3,5,4,6,99,1,99,99,2,3,3,4,4,3,1,3
1,10,80,5,1,4,6,3,7,6,5,1,3,3,2,5,2,4,2
3,15,70,5,4,2,7,5,4,4,4,3,4,3,4,4,4,2,3
3,70,15,3,5,3,99,99,4,99,99,99,3,2,3,5,3,4,3
1,60,15,4,5,4,6,99,1,99,2,1,3,3,5,5,2,3,3
1,70,15,2,5,4,99,6,99,4,99,6,4,2,4,4,2,4,3
1,70,50,3,5,4,7,4,7,4,1,99,4,3,4,5,4,2,2
1,70,0,2,5,4,5,4,2,2,1,1,3,3,5,5,4,2,3
2,40,60,4,3,4,2,6,7,6,6,2,3,3,4,5,1,3,3
1,40,0,4,5,3,6,2,1,2,2,1,4,3,5,5,3,2,2
2,70,30,2,5,3,4,4,5,4,3,3,3,3,4,5,3,2,2
3,15,30,5,3,3,99,99,5,5,99,99,4,3,4,4,1,1,3
1,70,40,2,4,4,7,3,6,5,2,1,4,2,3,5,1,1,1
1,70,0,3,5,4,5,5,5,6,5,1,5,3,4,5,4,3,1
3,50,85,4,1,2,99,5,5,4,5,99,3,3,4,4,2,3,3
1,85,0,2,5,4,6,1,1,3,4,1,4,2,5,5,4,2,3
2,0,15,5,5,4,2,4,7,6,4,1,3,3,4,4,1,3,3
1,0,60,5,3,3,4,4,7,7,6,6,4,3,5,5,1,4,3
1,50,50,4,4,4,5,4,3,4,3,2,3,1,3,5,2,3,3
4,0,85,5,1,4,1,6,7,7,5,6,2,3,5,5,1,4,2
1,85,0,2,5,4,5,4,1,2,3,1,3,2,5,5,2,1,3
3,15,100,5,1,4,3,6,5,6,7,4,3,3,4,5,1,4,3
2,70,40,5,5,3,4,4,3,5,2,2,3,3,5,5,2,3,5
2,15,70,4,4,4,4,6,6,7,7,4,3,3,4,5,1,1,3
1,20,90,5,1,2,5,7,3,3,4,99,4,3,3,4,2,3,3
2,50,50,5,4,3,99,7,1,3,5,1,3,3,3,5,2,4,3
2,40,40,4,3,3,7,3,1,4,7,1,4,3,5,4,4,4,4
1,60,15,2,5,3,5,3,5,3,1,1,3,3,5,5,5,1,3
2,40,40,3,4,4,4,4,4,99,3,4,4,3,3,4,2,2,4
1,0,60,5,1,5,3,7,7,7,4,7,5,3,1,5,1,4,2
2,15,30,2,5,4,4,4,6,5,4,3,3,3,5,5,2,1,3
1,85,15,2,5,3,4,7,4,4,99,99,2,3,5,5,5,4,4
2,30,75,5,1,4,4,5,4,2,7,2,2,3,2,4,2,3,4
1,100,60,2,5,4,7,3,4,7,2,1,4,2,4,5,3,1,2
2,100,0,1,5,1,4,99,99,99,1,1,4,3,3,3,3,1,1
1,85,0,2,5,3,7,7,99,1,1,99,3,3,3,5,3,1,5
1,85,0,1,5,4,99,6,6,99,4,1,3,3,1,5,5,1,3
2,70,0,2,5,4,4,3,3,4,5,1,3,2,4,5,3,2,1
2,85,15,2,4,4,6,99,2,3,1,1,4,3,3,5,2,1,3
1,70,0,2,5,4,4,2,3,6,3,3,4,2,5,4,3,3,2
2,50,60,4,3,5,4,7,4,2,99,1,2,3,3,4,2,3,3
4,15,70,4,1,4,2,5,5,4,6,6,3,4,2,5,2,4,2
2,50,50,4,5,5,7,3,4,4,4,99,4,3,2,4,3,4,3
2,50,50,5,5,4,4,4,99,4,4,2,4,3,3,5,2,2,2
1,60,0,5,5,5,7,1,1,1,7,1,5,3,5,5,1,1,3
1,75,0,1,5,4,7,4,1,1,1,1,5,2,5,5,2,1,4
1,0,85,5,2,3,99,99,99,3,5,99,3,3,1,4,1,4,3
2,0,100,5,1,3,1,4,5,5,7,5,2,4,4,5,1,4,1
-9,0,85,5,1,4,1,7,7,6,6,6,3,3,1,5,-9,-9,2
3,0,100,5,2,4,7,3,5,5,3,1,3,2,4,5,5,4,3
3,60,60,4,2,4,6,6,5,3,4,5,3,2,4,4,3,2,3
5,70,70,3,2,2,3,4,3,4,4,4,3,3,2,3,3,2,4
2,50,0,3,5,4,6,2,1,2,2,1,4,3,5,5,3,3,2
1,85,15,2,5,3,5,5,4,4,99,99,3,3,5,5,4,2,2
1,40,70,5,5,4,4,6,1,99,7,2,3,3,2,5,1,3,3
1,85,15,1,5,5,5,4,5,4,5,2,3,3,4,4,4,3,2
3,15,15,3,4,4,4,3,5,6,3,4,4,3,5,5,2,2,2
2,60,15,4,4,4,4,3,2,5,3,3,3,3,5,4,3,3,2
3,0,70,5,1,3,2,6,6,6,6,5,3,3,1,4,2,4,1
2,40,50,3,5,4,5,99,7,3,1,3,2,3,3,3,1,3,3
1,15,85,5,2,4,3,3,6,3,3,5,3,3,3,4,1,4,4
3,70,0,2,4,5,7,3,1,1,1,1,3,3,5,5,1,1,4
4,15,85,5,2,4,3,6,6,5,5,6,4,3,3,3,1,4,2
1,0,85,5,1,3,99,6,7,7,7,7,2,3,3,5,1,4,2
2,50,50,3,5,5,5,5,1,5,3,1,2,3,4,5,2,4,1
2,-9,-9,2,5,3,99,99,2,99,99,2,-9,-9,5,4,4,-9,2
1,90,0,1,5,4,7,2,2,1,1,1,4,3,5,5,4,2,2
3,48,60,4,2,2,3,5,5,5,1,2,2,3,1,5,2,1,2
3,60,85,4,1,2,4,6,5,7,7,1,3,3,4,5,2,2,2
1,100,50,1,5,1,7,99,99,99,1,99,4,3,2,5,5,1,3
1,40,30,2,5,4,4,4,1,4,3,4,2,3,5,5,3,3,2
1,0,85,5,2,4,2,5,5,5,7,4,3,3,3,5,1,3,3
1,60,30,3,5,4,6,99,99,99,4,99,3,2,3,3,3,1,3
1,90,25,1,5,4,5,6,5,99,3,99,3,3,3,2,3,3,2
2,40,70,3,5,3,3,5,6,6,3,4,3,3,4,5,2,4,2
4,15,100,5,1,4,5,4,4,5,6,5,3,3,2,3,2,2,1
2,50,50,4,5,4,7,4,4,4,4,4,4,2,4,5,3,2,1
1,85,15,2,5,2,5,4,3,4,3,2,3,3,4,4,4,2,2
2,35,0,3,5,4,5,1,1,3,3,1,4,2,5,5,3,3,3
1,60,15,3,5,3,5,3,99,5,2,2,3,2,5,4,4,1,2
2,85,30,4,5,4,7,2,1,99,99,99,3,3,1,5,2,2,3
3,0,100,5,2,2,4,6,6,5,6,2,3,3,1,5,1,2,2
4,30,50,4,2,4,1,7,7,7,7,6,1,3,3,5,1,4,2
2,0,30,5,2,5,1,6,7,5,1,7,4,3,5,4,1,3,2
2,85,70,3,4,3,3,3,5,99,2,2,4,2,4,3,3,3,3
2,50,70,4,3,3,4,5,6,5,4,99,3,3,2,4,1,1,2
1,0,60,5,1,5,2,4,4,5,4,4,4,3,3,5,1,4,1
3,85,30,2,5,3,4,2,3,99,6,1,3,2,5,5,4,3,1
2,15,85,4,1,2,3,5,4,5,5,4,4,3,3,4,3,3,3
1,30,70,5,2,4,5,5,3,5,7,5,3,3,2,5,1,3,2
1,70,15,3,5,4,5,5,5,6,4,2,3,4,3,4,3,2,2
1,0,40,5,3,3,4,7,4,7,4,4,4,3,5,5,1,2,3
2,-9,50,5,2,2,2,5,5,4,7,4,2,3,5,5,3,4,3
1,0,85,5,2,3,-9,6,6,6,4,4,3,3,2,4,1,2,2
1,85,15,2,5,3,7,4,1,3,3,3,4,2,4,4,4,4,3
2,0,60,5,2,4,3,6,5,6,6,6,2,3,4,5,1,4,1
4,15,85,5,1,4,5,5,5,5,5,5,3,3,3,4,1,4,1
3,50,40,3,5,2,99,99,3,6,4,7,5,3,3,3,3,1,4
2,50,50,5,1,4,99,99,99,99,99,4,3,3,3,5,3,4,3
3,100,0,3,5,5,7,4,99,1,7,1,4,3,5,5,1,2,1
1,45,30,2,5,3,4,4,4,4,3,4,3,3,5,5,3,2,2
2,15,70,5,3,3,99,99,5,5,99,5,3,3,4,5,3,3,3
1,70,30,2,5,3,6,1,3,4,4,1,4,2,5,5,3,2,3
1,60,15,2,5,4,4,2,2,3,4,3,3,3,5,4,3,1,2
1,100,0,2,5,4,4,99,6,7,7,99,3,2,4,5,4,3,2
1,85,50,2,5,4,4,99,4,4,4,2,4,3,4,4,3,2,3
2,30,85,4,3,3,99,5,1,2,99,1,3,3,2,4,2,1,3
1,70,0,3,5,2,6,2,1,3,2,1,4,2,5,4,3,1,2
1,60,15,2,5,3,4,4,2,5,3,3,3,2,5,5,3,1,3
1,85,0,2,5,4,7,5,1,1,1,1,3,2,5,5,4,1,2
2,75,65,3,5,2,6,7,2,2,2,1,2,3,5,3,3,1,2
2,70,0,3,5,4,7,1,7,1,1,1,4,3,5,5,3,1,4
2,0,85,2,5,3,7,4,2,4,6,1,5,3,2,5,3,2,2
1,85,15,1,5,4,99,99,2,2,2,1,3,2,5,5,5,1,1
5,0,100,5,1,4,99,99,99,99,99,99,2,3,1,5,2,1,1
1,70,30,3,4,4,7,99,2,4,3,1,4,2,4,5,3,3,2
1,70,30,3,5,4,5,99,99,4,6,99,4,3,5,5,3,3,3
1,85,5,1,5,3,5,4,2,2,2,3,4,3,5,5,3,2,3
2,45,50,4,3,4,4,99,6,6,6,5,3,2,2,5,2,4,1
1,0,85,5,2,3,2,7,6,6,3,6,3,3,4,4,1,4,2
3,15,70,5,2,2,3,99,7,4,5,1,4,3,4,4,2,2,3
1,70,0,2,5,3,4,4,2,5,4,3,3,3,4,5,3,3,3
3,15,60,5,2,4,99,99,99,99,5,99,2,3,3,4,1,2,4
1,60,40,3,5,4,6,6,5,4,3,3,3,2,4,5,4,1,2
4,30,85,5,1,2,99,6,6,7,5,7,2,3,5,5,2,3,2
3,15,70,4,1,3,2,6,7,6,99,7,3,3,4,5,2,4,3
1,70,50,2,5,4,4,3,1,4,3,2,5,2,3,5,3,3,2
3,50,85,5,1,3,5,6,2,4,4,6,3,3,2,4,2,4,2
1,0,85,5,2,3,4,99,7,7,7,4,5,3,1,5,1,3,2
2,50,15,3,5,3,99,6,99,4,99,99,3,2,3,4,3,1,3
3,60,30,2,5,4,99,5,5,99,6,4,3,3,4,4,3,2,3
3,0,60,3,2,4,99,99,99,4,99,99,4,3,1,4,3,4,2
3,60,70,5,2,4,5,7,4,99,6,5,4,3,4,5,3,4,2
1,-9,30,3,5,2,4,4,3,4,3,3,3,3,5,5,4,1,1
2,50,50,1,5,3,6,4,3,3,3,2,3,3,4,5,2,2,2
1,0,60,5,1,3,1,7,7,7,7,7,3,3,3,5,1,4,1
1,60,0,3,5,2,7,1,1,1,1,1,4,2,5,5,3,1,1
1,70,0,2,5,4,7,2,4,2,1,1,3,3,3,5,3,1,1
1,75,5,2,5,4,5,99,2,3,2,1,3,3,5,5,2,2,3
1,85,0,3,5,4,7,1,1,2,1,1,4,2,5,5,4,1,3
4,50,50,3,1,5,-9,4,5,5,5,5,2,3,2,2,4,4,2
4,0,100,5,1,2,4,6,6,4,7,4,1,3,1,5,1,4,3
2,15,85,5,2,3,4,4,5,3,7,5,4,3,1,5,1,3,4
2,30,85,5,2,4,4,5,4,5,5,4,4,4,5,5,1,3,2
4,5,90,5,1,4,1,6,7,6,6,7,3,3,4,4,2,3,2
2,40,40,5,4,5,7,4,1,1,1,1,3,2,3,5,2,2,5
3,40,60,5,1,5,3,5,7,5,4,5,4,3,1,4,1,3,1
1,65,55,2,3,3,5,5,5,5,4,3,3,3,5,5,4,3,4
4,2,65,5,2,4,3,6,7,6,7,3,4,3,3,4,1,4,2
1,85,0,1,5,3,6,3,2,99,2,1,3,2,5,5,3,1,2
1,70,30,2,5,3,5,4,5,3,4,2,3,2,5,5,4,2,4
2,50,50,5,3,3,6,6,5,2,5,2,3,2,1,5,3,4,2
3,0,85,5,1,2,3,7,7,6,6,5,4,3,4,4,3,4,1
1,15,60,5,4,4,4,4,4,5,3,4,3,3,5,5,2,3,3
1,60,40,2,5,4,5,5,6,4,7,3,3,3,3,5,4,2,3
2,70,40,2,5,3,7,5,4,2,1,4,3,3,2,4,3,2,1
2,67,50,2,5,3,5,4,1,4,4,1,3,3,3,5,3,3,3
3,0,100,5,1,3,4,6,6,6,7,5,3,3,3,5,1,4,2
2,15,60,5,2,3,1,5,7,4,99,5,4,4,2,4,2,4,3
1,60,15,3,5,4,6,4,4,5,4,1,4,3,4,5,2,2,3
1,60,15,3,5,5,5,3,3,2,2,2,4,3,5,5,1,1,4
1,70,40,1,5,4,7,2,99,3,1,1,3,2,3,5,1,1,3
3,60,0,4,5,2,5,5,4,3,2,6,4,3,5,5,3,2,3
3,30,70,5,1,4,2,7,7,6,3,4,3,3,5,5,2,4,2
2,15,50,5,3,4,3,4,7,6,4,6,3,4,4,4,1,4,2
1,38,0,1,5,4,6,5,2,2,1,1,3,2,5,5,4,2,4
1,100,0,1,5,4,5,5,7,6,5,1,5,3,4,5,5,1,1
1,100,0,1,5,2,7,5,6,6,1,1,3,3,4,5,3,3,2
1,60,0,3,5,4,7,1,1,1,1,1,3,3,5,5,3,1,2
1,0,90,5,1,3,4,4,4,4,4,4,4,3,5,5,1,4,3
1,60,30,3,5,3,4,4,4,4,4,4,3,3,3,4,3,3,3
2,45,55,4,4,2,3,3,3,5,99,4,4,3,4,4,2,4,3
3,0,100,5,1,3,99,7,4,4,6,4,2,3,1,5,1,4,2
1,50,50,2,5,3,4,4,4,3,4,5,3,3,4,4,3,3,3
1,30,85,4,2,2,6,4,2,3,7,3,3,3,3,3,3,1,4
3,0,70,5,1,3,1,6,7,7,6,6,4,3,3,3,1,2,1
4,15,85,4,2,2,3,4,7,99,7,7,3,4,4,5,2,3,2
1,85,15,2,5,3,5,2,1,2,2,2,3,3,4,5,2,2,3
4,0,100,5,1,2,3,7,7,5,7,3,3,3,3,5,1,4,1
1,50,40,2,5,4,7,1,1,1,1,1,3,3,3,4,3,4,4
1,30,50,4,5,4,7,3,4,4,4,4,3,2,4,4,4,2,5
1,85,15,3,5,4,5,5,3,4,3,2,3,3,5,4,3,3,2
2,30,60,5,3,4,2,4,4,5,5,5,4,3,4,4,2,4,2
2,51,15,3,5,4,3,2,3,3,3,3,4,3,5,5,2,1,2
1,0,60,5,2,5,99,99,99,99,99,99,4,3,5,5,2,4,2
3,0,100,5,3,3,2,99,7,7,4,99,3,3,4,4,1,2,3
2,70,15,4,5,4,7,4,3,2,2,1,3,3,4,4,2,2,3
3,20,85,4,2,4,99,99,1,1,7,1,4,3,1,5,1,3,3
2,0,30,4,5,5,1,1,4,7,7,2,4,4,3,5,1,4,3
1,50,50,3,5,4,5,5,5,5,99,5,3,3,3,3,3,2,2
3,15,70,5,1,3,2,6,7,6,7,7,2,3,4,5,1,4,2
2,15,85,5,3,4,7,4,3,4,3,2,4,1,4,5,2,3,3
1,0,70,5,1,4,4,99,4,7,7,99,3,3,1,5,1,3,4
4,0,100,5,1,3,2,6,6,7,5,6,3,3,5,5,1,3,2
1,0,85,5,1,5,3,2,6,7,4,6,2,3,3,3,2,2,1
1,60,15,2,5,4,5,3,2,1,1,1,3,3,5,5,4,1,2
2,10,0,5,5,5,7,1,1,1,1,1,5,2,4,5,2,1,2
1,85,0,2,5,4,6,6,1,99,99,1,2,2,5,5,5,3,3
1,90,15,2,5,2,6,2,1,1,1,1,5,3,5,5,3,2,1
4,0,85,5,1,2,99,7,7,7,7,6,3,3,3,5,1,4,1
1,85,15,2,5,4,99,5,3,99,2,2,3,3,5,5,4,2,2
3,10,95,5,1,4,3,5,6,5,5,4,3,3,1,5,2,3,3
1,85,50,3,4,2,7,5,1,1,3,1,3,3,4,5,5,2,3
3,0,100,5,1,4,4,99,5,99,5,99,3,3,2,5,2,1,3
3,70,40,3,5,3,6,3,1,3,2,1,4,3,5,5,3,2,2
3,85,15,3,5,4,99,4,4,5,5,2,4,3,2,5,5,4,2
2,-9,-9,5,3,4,4,5,4,4,2,4,3,3,2,5,2,4,4
3,15,-9,3,3,2,5,6,6,4,7,6,3,3,3,3,3,2,3
2,0,90,5,1,2,5,7,7,7,7,7,2,3,4,4,2,3,2
2,15,60,5,3,4,4,5,5,5,5,5,3,3,2,4,2,3,5
4,0,60,5,2,4,2,3,4,5,6,4,5,3,5,5,1,4,2
3,70,4,5,4,4,7,99,4,5,99,99,3,3,5,5,1,1,3
1,75,10,3,5,3,6,99,1,2,2,1,3,2,5,5,3,2,2
1,60,30,2,5,4,5,4,3,3,2,99,4,3,4,4,3,3,4
1,-9,-9,3,4,4,4,4,4,4,4,99,4,3,2,4,3,2,3
2,30,0,5,5,4,7,1,1,1,1,1,5,3,5,5,3,2,2
3,0,70,5,1,4,4,6,7,7,7,7,3,3,2,5,2,4,3
1,60,60,5,1,5,2,7,7,99,7,99,4,3,3,4,3,4,3
3,100,0,2,4,2,99,99,1,1,1,99,4,2,2,3,2,2,1
5,0,90,5,1,3,1,2,6,4,4,7,4,3,1,5,1,4,1
1,100,0,2,5,3,6,99,4,1,99,99,4,3,2,5,2,1,3
-9,0,40,5,1,3,4,4,7,7,4,99,3,3,1,5,2,3,3
3,85,50,2,3,3,7,6,1,5,4,7,3,3,2,3,4,2,2
1,50,50,3,5,4,6,2,1,5,7,1,4,2,5,5,1,4,2
1,0,85,5,1,2,3,7,7,1,1,7,2,3,1,5,1,3,3
3,15,60,3,4,4,1,5,6,7,4,3,4,3,5,5,1,4,3
3,100,85,3,3,2,3,4,3,4,4,4,4,4,3,1,1,1,2
2,80,5,3,5,4,6,1,1,1,1,1,4,3,5,5,4,1,3
1,85,0,1,5,4,7,99,99,3,1,3,3,3,3,5,3,1,4
2,70,85,2,3,2,7,99,1,99,1,99,4,2,4,4,3,1,2
1,60,15,3,4,3,5,3,1,5,99,3,4,3,4,5,2,1,2
1,0,70,5,1,3,4,6,6,6,6,4,2,3,1,5,1,1,2
2,60,0,3,5,3,5,2,4,4,3,3,4,2,4,5,2,1,2
1,90,0,1,5,3,6,3,1,3,1,1,4,3,5,5,5,1,3
1,70,0,4,5,4,6,2,1,2,1,1,5,3,5,5,4,1,2
1,85,0,2,5,3,5,5,1,99,4,6,4,2,5,5,3,2,3
3,40,60,5,3,3,4,5,4,5,6,5,4,3,5,5,3,2,2
1,100,0,2,5,4,99,4,4,5,3,1,4,2,5,5,5,2,2
1,85,0,2,5,2,7,4,3,4,3,1,2,3,3,5,4,1,2
1,50,50,5,5,4,99,99,99,1,7,4,4,3,3,3,1,2,3
3,0,85,5,2,4,3,6,7,7,5,6,3,3,5,5,2,4,2
1,0,70,5,2,3,3,7,5,5,7,6,2,3,1,5,1,4,1
1,40,85,5,3,4,3,4,5,5,3,1,3,3,3,5,1,4,4
2,70,15,3,5,5,6,3,1,2,1,1,3,3,5,5,3,2,2
3,85,40,3,3,4,6,6,6,6,6,6,3,4,4,1,1,4,2
1,85,15,4,5,4,7,1,1,1,1,1,4,2,5,5,3,1,3
1,85,30,2,5,2,6,4,3,4,1,1,3,2,5,5,2,2,3
4,0,85,5,1,3,3,6,7,5,6,5,4,3,3,4,2,4,2
2,0,70,5,2,5,4,6,7,7,6,5,4,3,5,5,1,4,2
1,100,0,1,5,2,99,99,1,1,1,2,4,3,3,5,1,2,2
2,60,70,3,2,3,4,4,99,99,4,99,3,3,3,2,3,2,3
2,85,15,2,4,2,6,4,4,4,4,4,3,2,3,4,3,3,2
1,65,20,2,5,4,5,1,1,1,2,1,4,2,5,5,3,1,2
1,85,0,2,5,4,7,3,2,2,3,1,3,2,5,5,4,2,3
1,15,85,5,1,3,1,7,7,1,99,99,1,3,1,5,2,3,1
